iter	Passed	Remaining
0	150	150772
1	151	75738
2	152	50764
3	153	38217
4	154	30670
5	154	25633
6	155	22031
7	155	19337
8	156	17236
9	157	15553
10	157	14183
11	158	13044
12	159	12091
13	159	11264
14	160	10544
15	161	9917
16	161	9362
17	162	8863
18	163	8428
19	164	8044
20	164	7688
21	165	7358
22	166	7057
23	166	6780
24	167	6527
25	168	6295
26	168	6075
27	169	5873
28	169	5684
29	170	5514
30	171	5352
31	171	5197
32	172	5051
33	172	4914
34	173	4786
35	174	4663
36	174	4549
37	175	4441
38	176	4343
39	176	4247
40	177	4156
41	178	4067
42	178	3980
43	179	3898
44	180	3820
45	180	3746
46	181	3675
47	181	3606
48	182	3540
49	183	3479
50	183	3419
51	184	3361
52	184	3304
53	185	3250
54	186	3197
55	186	3146
56	187	3097
57	187	3049
58	188	3004
59	189	2961
60	189	2918
61	190	2876
62	190	2838
63	191	2799
64	191	2761
65	192	2724
66	193	2688
67	193	2650
68	193	2616
69	194	2585
70	195	2556
71	195	2525
72	196	2495
73	197	2465
74	197	2437
75	198	2409
76	198	2382
77	199	2356
78	199	2330
79	200	2305
80	201	2281
81	201	2258
82	202	2234
83	202	2212
84	203	2187
85	203	2166
86	204	2142
87	204	2121
88	205	2101
89	205	2081
90	206	2061
91	207	2043
92	207	2024
93	208	2006
94	208	1988
95	209	1970
96	209	1953
97	210	1935
98	210	1919
99	211	1902
100	211	1886
101	212	1868
102	213	1855
103	213	1841
104	214	1826
105	214	1812
106	215	1798
107	216	1785
108	216	1772
109	217	1758
110	217	1745
111	218	1732
112	219	1720
113	219	1708
114	220	1697
115	221	1685
116	221	1673
117	222	1661
118	222	1649
119	223	1638
120	223	1626
121	224	1615
122	224	1603
123	225	1592
124	226	1582
125	226	1572
126	227	1563
127	227	1551
128	228	1542
129	229	1532
130	229	1523
131	230	1513
132	230	1504
133	231	1495
134	232	1486
135	232	1477
136	233	1469
137	233	1459
138	234	1451
139	234	1443
140	235	1435
141	236	1427
142	236	1419
143	237	1411
144	238	1403
145	238	1396
146	239	1388
147	240	1381
148	240	1374
149	241	1367
150	242	1360
151	242	1354
152	243	1346
153	243	1339
154	244	1333
155	245	1326
156	245	1320
157	246	1313
158	246	1306
159	247	1299
160	248	1293
161	248	1286
162	249	1280
163	249	1273
164	250	1267
165	251	1261
166	251	1255
167	252	1249
168	253	1244
169	253	1238
170	254	1233
171	255	1228
172	255	1222
173	256	1216
174	256	1211
175	257	1206
176	258	1201
177	259	1196
178	259	1191
179	260	1186
180	260	1180
181	261	1175
182	262	1169
183	262	1164
184	263	1159
185	263	1154
186	264	1149
187	264	1144
188	265	1139
189	266	1134
190	266	1129
191	267	1124
192	267	1119
193	268	1114
194	268	1109
195	269	1105
196	270	1101
197	270	1096
198	271	1091
199	271	1087
200	272	1082
201	272	1078
202	273	1073
203	274	1069
204	274	1064
205	275	1060
206	275	1056
207	276	1052
208	276	1048
209	277	1043
210	278	1039
211	278	1035
212	279	1031
213	279	1027
214	280	1022
215	280	1018
216	281	1014
217	281	1010
218	282	1007
219	283	1004
220	283	1000
221	284	996
222	284	992
223	285	989
224	286	985
225	286	981
226	287	978
227	287	974
228	288	971
229	289	968
230	289	965
231	290	961
232	291	958
233	291	954
234	292	951
235	292	948
236	293	944
237	294	941
238	294	938
239	295	935
240	295	932
241	296	929
242	297	925
243	297	922
244	298	919
245	299	916
246	299	913
247	300	910
248	300	907
249	301	904
250	302	901
251	302	898
252	303	894
253	303	891
254	304	888
255	304	885
256	305	882
257	305	879
258	306	876
259	307	873
260	307	871
261	308	868
262	308	865
263	309	862
264	310	859
265	310	857
266	311	854
267	312	852
268	312	849
269	313	847
270	314	844
271	314	842
272	315	839
273	315	837
274	316	834
275	317	831
276	317	829
277	318	826
278	318	824
279	319	822
280	320	819
281	320	817
282	321	814
283	322	811
284	322	809
285	323	806
286	323	804
287	324	801
288	324	799
289	325	797
290	326	794
291	326	792
292	327	790
293	328	787
294	328	785
295	329	783
296	329	780
297	330	778
298	331	776
299	331	774
300	332	772
301	333	770
302	333	767
303	334	765
304	334	763
305	335	761
306	336	758
307	336	756
308	337	754
309	337	752
310	338	750
311	339	748
312	339	746
313	340	743
314	341	741
315	341	739
316	342	737
317	342	735
318	343	733
319	344	731
320	344	729
321	345	727
322	345	725
323	346	722
324	347	720
325	347	718
326	348	716
327	348	714
328	349	712
329	350	710
330	350	708
331	351	707
332	352	705
333	352	703
334	353	701
335	353	699
336	354	697
337	355	695
338	355	693
339	356	691
340	357	690
341	357	688
342	358	686
343	359	684
344	359	682
345	360	680
346	360	678
347	361	677
348	361	675
349	362	673
350	363	671
351	363	669
352	364	668
353	365	666
354	365	664
355	366	662
356	366	660
357	367	658
358	367	656
359	368	654
360	368	653
361	369	651
362	370	649
363	370	647
364	371	646
365	371	644
366	372	642
367	373	640
368	373	638
369	374	637
370	374	635
371	375	633
372	375	631
373	376	630
374	377	628
375	377	627
376	378	625
377	378	623
378	379	621
379	379	619
380	380	618
381	381	616
382	381	614
